season,player,position,team,league,mins,goals,assists,goals_assists,npg,npg_assists,xg,xa,xg_xa,npxg,npxg_xa,shots,shots_on_target,shot_distance,sca,gca,pass_percent,prog_pass_dist,key_passes,pass_final_third,ppa,cross_pa,prog_pass,tackles,pressures,blocks,interceptions,tkl_int,clearances,touches,touches_def_pen,touches_def_third,touches_mid_third,touches_att_third,touches_att_pen,dribble_att,dribble_success,carries,prog_carry_dist,prog_carries,carries_final_third,carries_pen_area,targets,receptions,through_balls,pressured_passes,switches,crosses,fouls,fouled,recoveries,aerial_duels
1920,Adri Embarba,MF,Espanyol,La Liga,1371,0.13,0.26,0.39,0.07,0.33,0.19,0.12,0.31,0.14,0.26,2.43,0.92,25,2.17,0.26,55.7,83.4,1.18,1.12,1.05,0.46,1.51,1.84,21.2,2.43,0.72,2.57,0.39,44.9,0.99,7.11,19.3,22.5,2.04,4.61,50,30.9,162.1,8.24,1.33,0.07,40.6,27.2,0.2,6.84,1.78,3.82,1.58,1.78,7.04,3.29
1920,Adrián,GK,Liverpool,Premier League,875,0,0,0,0,0,0,0,0,0,0,0,0,,0.21,0,72.3,393.3,0,0.31,0,0,0,0,0.21,0,0,0,0,34.8,31,34.8,0,0,0,0,,48.6,36.6,3.59,1.22,0.45,49.3,47.1,0,9.29,0,1.43,1.43,0.71,4.29,0
1920,Adrián Guerrero,DF,Valencia,La Liga,126,0,0,0,0,0,0,0,0,0,0,0,0,,1.43,0,74.1,197.1,0,2.86,0,0,2.14,2.14,10.7,1.43,0.71,2.86,1.43,65.7,2.14,17.9,35,16.4,0.71,2.86,50,27.1,105.7,1.31,0.38,0.54,50.3,32.8,0.19,8.38,0.25,1.13,0.56,0.38,4.06,6.88
1920,Adrián López,FW,Osasuna,La Liga,1443,0.12,0,0.12,0.06,0.06,0.16,0.13,0.29,0.12,0.24,1.13,0.44,13.9,2.62,0.19,70.6,70.3,1.38,2,0.5,0.13,2.06,0.63,11.5,0.63,0.38,1,0.56,41.1,0.75,2.75,21.5,20.4,4.56,1.88,50,18.8,127.6,5.88,1.11,0.41,20.6,19.6,0.06,4.35,0.71,1.07,1.19,0.42,7.92,4.34
1920,Adrian Mariappa,DF,Watford,Premier League,1513,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04,0.18,0,8.4,0.59,0.06,72.8,224.5,0.24,1.9,0.18,0.18,2.2,1.49,11.7,2.08,0.42,1.9,5.54,45.4,5,18.8,20.4,7.2,0.3,0.18,33.3,23.8,25.8,12.5,5.72,0.9,23.6,21.8,0,4.11,0.84,1.68,2.63,0.42,7.26,1.68
1920,Adrián Marín,DF,Alavés,La Liga,852,0,0,0,0,0,0.06,0.03,0.09,0.06,0.09,0.32,0,15,1.16,0,71.3,261.3,0.53,2.53,0.74,0.21,4.11,2,9.16,2.42,1.05,3.05,3.47,49.1,4.11,17.4,23.7,10.4,0.74,2.32,36.4,18.8,83.5,1.97,0.14,0.03,58,33.2,0,7.2,0.4,0.8,2,2.4,4,14
1920,Adrián Ramos,FW,Granada,La Liga,226,0,0,0,0,0,0.18,0.03,0.2,0.18,0.2,2.4,0.8,12.8,1.59,0.4,65.3,83.6,0.4,4,0.8,0,3.2,1.2,15.2,1.6,0,1.2,0.8,42.8,0.4,0.8,17.6,25.2,5.2,0.4,0,16.8,35.6,5.21,1.35,0.52,16,15.9,0,4.12,1.24,0,0,0.1,4.85,0
1920,Adrien Hunou,FW,Rennes,Ligue 1,1210,0.6,0.07,0.67,0.52,0.6,0.56,0.13,0.69,0.5,0.64,2.16,1.04,11.1,2.38,0.3,77.9,56,1.12,0.45,0.67,0.3,1.79,1.72,24,1.57,0.15,1.87,0.52,38,0.45,4.25,19,17.2,4.25,1.34,66.7,25.4,68.4,1.84,0.49,0.68,44.6,26.9,0,5.97,0.3,0.82,1.34,2.54,5.22,2.54
1920,Adrien Lebeau,MF,Strasbourg,Ligue 1,13,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,50,50,0,0,0,0,0,0,80,10,0,0,0,70,0,10,40,20,0,10,100,50,190,0.51,0.51,0.17,50,30,0,0,10,0,10,10,20,10
1920,Adrien Rabiot,MF,Juventus,Serie A,1912,0.05,0.05,0.09,0.05,0.09,0.05,0.04,0.08,0.05,0.08,0.9,0.28,18.8,2.4,0.28,89.1,136.4,0.66,3.82,0.42,0.14,2.03,2.64,23.3,2.12,1.23,3.87,0.8,65.9,2.08,10.9,38,22.5,2.08,2.26,77.1,49.4,158.2,6.6,1.68,0.36,55.5,49.3,0.05,10.3,0.85,0.94,2.31,1.32,7.74,1.79
1920,Adrien Silva,MF,Monaco,Ligue 1,1221,0,0.15,0.15,0,0.15,0.04,0.1,0.14,0.04,0.14,1.03,0.22,26.1,2.36,0.22,86.1,285.8,1.1,5,0.59,0,4.78,2.79,25.7,1.91,0.88,3.68,1.25,72.7,2.35,14.4,48.1,14.2,0.37,2.28,54.8,47.9,111.9,3.93,1.03,0.09,51.8,49.1,0.07,9.12,2.5,0.59,1.62,1.62,12,1.98
1920,Adrien Tameze,MF,Nice,Ligue 1,519,0.17,0,0.17,0.17,0.17,0.09,0.07,0.17,0.09,0.17,0.86,0.17,15.3,1.56,0,86.6,98.1,1.21,2.59,1.03,0,2.76,1.72,24.3,1.55,0.86,2.59,0.52,51.7,2.59,10.3,30.2,14,1.55,2.24,38.5,35.9,90.3,2.43,0.61,0,46.4,39.3,0.17,6.9,0.86,1.21,1.9,1.03,5.86,1.2
1920,Adrien Tameze,MF,Atalanta,Serie A,211,0,0,0,0,0,0,0.09,0.09,0,0.09,0,0,,4.27,1.28,89.5,327.8,1.3,7.39,0,0,3.91,1.74,22.6,2.17,0.43,2.17,1.3,94.3,4.78,21.3,60,20.4,1.74,3.04,71.4,77.8,186.1,3.57,0.99,0.19,77,76.5,0,13,2.17,0,2.17,0.87,11.3,2.6
1920,Adrien Thomasson,MF,Strasbourg,Ligue 1,2072,0.35,0.04,0.39,0.35,0.39,0.26,0.17,0.43,0.26,0.43,2.17,0.74,15.6,3.43,0.22,77.5,137.6,1.74,3,1.3,0.35,3.65,1.43,27.7,1.04,0.3,1.74,0.26,53.7,0.35,5.35,26.3,25.6,4.48,2.17,56,36.7,104,0,0,0,52,39.1,0.09,11.3,0.7,2.13,1.26,1.65,7.7,2.17
1920,Agustín Rogel,DF,Toulouse,Ligue 1,858,0,0,0,0,0,0.04,0.01,0.05,0.04,0.05,0.32,0,5.7,0.21,0,87.3,208.5,0.21,1.37,0,0,1.47,1.16,8.42,2.21,0.11,1.26,5.26,45.1,6.84,27.9,19.7,1.26,0.84,0.11,100,27.5,82.4,5.26,3.68,0,30,28.7,0,4.32,0.42,0,0.53,0.32,6,3.79
1920,Ahmad Ngouyamsa,DF,Dijon,Ligue 1,55,0,0,0,0,0,,,,,,0,0,,,,,,,,,,,,,,1.67,0,,,,,,,,,,,,5.98,1.1,0.12,,,,,,0,5,0,0,0
