player,position,team,league,mins,goals,assists,goals_assists,npg,npg_assists,xg,xa,xg_xa,npxg,npxg_xa,shots,shots_on_target,shot_distance,sca,gca,pass_percent,prog_pass_dist,key_passes,pass_final_third,ppa,cross_pa,prog_pass,tackles,pressures,blocks,interceptions,tkl_int,clearances,touches,dribble_att,dribble_success,prog_carry_dist
Rubén Alcaraz,MF,Valladolid,La Liga,1927,0.09,0.09,0.19,0.09,0.19,0.08,0.04,0.11,0.08,0.11,1.54,0.37,25.7,2.06,0.19,78.5,232.7,0.65,4.44,0.19,0.05,3.36,2.76,20.7,2.66,0.75,3.5,3.18,62.1,1.36,72.4,114.8
Toby Alderweireld,DF,Tottenham,Premier League,2957,0.06,0.06,0.12,0.06,0.12,0.03,0.03,0.07,0.03,0.07,0.49,0.15,11.2,0.64,0.09,82.7,296.8,0.33,3.95,0.49,0.03,2.64,1.34,7.84,2.1,0.33,1.67,6.96,68.8,0.06,0,92.9
Haitam Aleesami,DF,Amiens,Ligue 1,1916,0.05,0.05,0.09,0.05,0.09,0.01,0.06,0.07,0.01,0.07,0.09,0.05,14.7,1.27,0.14,77.8,302.7,0.61,3.15,0.56,0.28,4.6,2.07,17.6,2.58,1.22,3.29,4.6,67.4,1.5,59.4,93.3
Álex Alegría,FW,Mallorca,La Liga,109,0,0,0,0,0,0,0,0,0,0,0,0,,0.83,0,65.7,34.2,0,0.83,0,0,0,0.83,17.5,0.83,0.83,1.67,0,40.8,1.67,50,67.5
Carles Aleñá,MF,Barcelona,La Liga,172,0,0,0,0,0,0.01,0,0.01,0.01,0.01,0.53,0.53,16.5,1.05,0.52,91.7,311.1,0,9.47,0.53,0,6.84,1.05,20,1.05,0,1.05,0.53,89.5,1.58,66.7,131.6
Carles Aleñá,MFFW,Betis,La Liga,735,0.12,0,0.12,0.12,0.12,0.14,0.02,0.16,0.14,0.16,1.46,0.49,20.7,1.59,0.12,85.6,151.2,0.49,5.37,0.49,0.12,3.9,2.44,16.7,1.1,0.12,2.56,0.49,57.4,2.8,65.2,143.2
Rúnar Alex Rúnarsson,GK,Dijon,Ligue 1,901,0,0,0,0,0,0,0.01,0.01,0,0.01,0,0,,0.3,0,72.5,499.4,0.2,0.1,0,0,0,0,0.2,0,0,0,0.1,35.1,0.1,100,27.9
Trent Alexander-Arnold,DF,Liverpool,Premier League,3175,0.11,0.37,0.48,0.11,0.48,0.08,0.28,0.36,0.08,0.36,1.25,0.37,22.6,4.31,0.68,71.6,566.4,2.41,5.67,2.55,0.85,7.76,1.64,11.6,1.5,0.96,2.61,2.78,99.7,1.59,46.4,161.7
Enrico Alfonso,GK,Brescia,Serie A,279,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,70.7,276.1,0,0,0,0,0,0,0,0,0,0,0,27.4,0,,24.8
Rachid Alioui,FW,Angers,Ligue 1,1563,0.35,0.06,0.4,0.35,0.4,0.31,0.08,0.39,0.31,0.39,3.33,1.21,20.9,2.25,0.12,73.2,41.2,1.03,1.26,0.52,0.06,1.38,0.75,21.4,0.23,0.23,0.98,0.57,37.7,1.72,76.7,61.3
Alisson,GK,Liverpool,Premier League,2543,0,0.04,0.04,0,0.04,0,0.02,0.02,0,0.02,0,0,,0.14,0.04,85.8,434.8,0.07,0.25,0.04,0,0.04,0,0.18,0,0.04,0.04,0.07,34.8,0,,38.5
Allan,MF,Napoli,Serie A,1280,0.14,0.07,0.21,0.14,0.21,0.05,0.08,0.13,0.05,0.13,0.85,0.49,20,2.88,0.21,86.6,227.9,1.13,5.35,0.63,0.07,4.08,3.87,28.9,1.83,0.35,4.23,1.13,70,2.04,62.1,128.2
Dele Alli,MFFW,Tottenham,Premier League,1847,0.39,0.19,0.58,0.34,0.54,0.35,0.1,0.44,0.31,0.4,1.9,0.88,14,2.63,0.58,77.1,116.3,1.07,2,1.17,0,3.17,2,23.4,2.59,0.34,2.34,0.83,55.2,3.07,50.8,122
Miguel Almirón,MFFW,Newcastle Utd,Premier League,3021,0.12,0.06,0.18,0.12,0.18,0.19,0.05,0.24,0.19,0.24,1.64,0.51,15.7,2.38,0.06,76.3,76.6,0.8,1.19,0.71,0.12,1.96,1.85,21.8,1.31,0.6,2.44,0.48,39,2.77,49.5,155.4
Marcos Alonso,DF,Chelsea,Premier League,1430,0.25,0.13,0.38,0.25,0.38,0.13,0.14,0.26,0.13,0.26,1.89,0.5,16.9,2.96,0.38,82.7,312.7,1.64,2.2,1.82,0.88,4.4,1.7,13.5,1.89,0.88,2.58,3.02,82.6,1.19,63.2,171.8
Mickaël Alphonse,DF,Dijon,Ligue 1,1378,0,0.07,0.07,0,0.07,0.01,0.02,0.03,0.01,0.03,0.52,0,23,1.11,0.2,69.8,240.6,0.59,2.03,0.78,0.33,3.46,2.81,14.4,2.48,0.85,3.66,5.36,61.8,1.96,60,120.1
Sergio Álvarez,MFDF,Eibar,La Liga,1147,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04,0,0,,0.94,0,75.4,135.4,0.55,3.54,0.16,0.08,2.52,2.91,20.9,1.97,0.71,3.62,4.57,27.5,0,,19.5
Sergio Álvarez,GK,Celta Vigo,La Liga,180,0,0,0,0,0,0,0,0,0,0,0.31,0,19.8,0,0,73.6,289.5,0,0,0,0,0,0,0,0,0,0,0,44.8,0.71,66.7,39.8
Yeray Álvarez,DF,Athletic Club,La Liga,2810,0,0,0,0,0,0.04,0.02,0.05,0.04,0.05,0.38,0.06,13.9,0.61,0.03,81.9,270.4,0.1,2.31,0.26,0.1,2.69,1.25,7.12,1.86,1.09,2.34,8.46,58.2,0.42,84.6,113.8
Bruno Alves,DF,Parma,Serie A,2671,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05,0.77,0.03,20,0.51,0,83.5,342.8,0.24,2.46,0.17,0.03,2.56,0.77,5.79,1.35,0.51,1.28,6.36,54.1,0.1,66.7,102.9
Steven Alzate,MFDF,Brighton,Premier League,1188,0,0,0,0,0,0.09,0.05,0.14,0.09,0.14,0.98,0.23,16.8,2.27,0.08,84.9,197.1,0.98,2.42,1.21,0.15,4.24,2.12,17.8,1.97,0.76,2.88,1.06,63.5,3.79,66,162.2
Ibrahim Amadou,DFMF,Norwich City,Premier League,759,0,0,0,0,0,0.11,0,0.12,0.11,0.12,0.71,0.12,16.5,0.12,0,85.9,212.6,0.12,1.67,0.12,0,1.31,2.5,12.7,0.95,1.31,3.81,6.9,56,0.36,66.7,56.9
Ibrahim Amadou,MF,Leganés,La Liga,770,0,0,0,0,0,0.04,0,0.04,0.04,0.04,0.47,0,14,0.23,0,79.1,91.3,0.12,1.98,0.12,0.12,1.63,1.86,18.7,0.81,0.58,2.44,0.93,39.9,0.47,75,56.9
Romain Amalfitano,MF,Dijon,Ligue 1,1695,0.05,0.05,0.11,0.05,0.11,0.02,0.05,0.06,0.02,0.06,0.59,0.11,25.1,1.43,0.11,78.5,222.8,0.43,4.36,0.69,0.05,4.84,2.29,23.3,1.33,0.9,3.19,1.17,58.1,2.29,65.1,139.6
Amath,MF,Getafe,La Liga,66,0,0,0,0,0,0,0,0,0,0,0,0,,1.36,0,70.6,92.9,0,2.86,0,0,1.43,2.86,51.4,1.43,1.43,4.29,1.43,51.4,11.4,50,194.3
Jordan Amavi,DF,Marseille,Ligue 1,2164,0.04,0.04,0.08,0.04,0.08,0.02,0.06,0.08,0.02,0.08,0.63,0.17,22.2,1.12,0.08,80.4,255,0.58,1.92,0.67,0.33,3.13,2.58,12,2.21,1.25,3.83,5.46,66.3,2.33,50,140.8
Thierry Ambrose,FW,Metz,Ligue 1,548,0,0,0,0,0,0.21,0.09,0.3,0.21,0.3,3.77,0.66,19.5,3.78,0,72.5,123.3,1.8,3.28,1.15,0.49,2.79,1.15,20,0.82,0.66,1.8,0.49,51.1,7.38,53.3,247.5
Kelvin Amian,DF,Toulouse,Ligue 1,1633,0,0.11,0.11,0,0.11,0.04,0.02,0.06,0.04,0.06,0.44,0.17,17.8,0.61,0.06,82.4,202.7,0.17,1.99,0.44,0.11,3.09,1.49,12,1.38,0.66,2.15,3.37,46.2,0.99,44.4,126.4
